·ûºÅÕ»                               ×´Ì¬Õ»                                                                                       ÊäÈë´®                                                                          ACTION         GOTO      
#BC(){TXXXXXXTXWTf(H;I               0,7,10,11,12,13,23,25,25,25,25,25,25,23,25,24,23,16,27,41,58,71,                            ;2=2+3){2=3;}r3;}#                                                              S85
#BC(){TXXXXXXTXWTf(H;I;              0,7,10,11,12,13,23,25,25,25,25,25,25,23,25,24,23,16,27,41,58,71,85,                         2=2+3){2=3;}r3;}#                                                               S101
#BC(){TXXXXXXTXWTf(H;I;2             0,7,10,11,12,13,23,25,25,25,25,25,25,23,25,24,23,16,27,41,58,71,85,101,                     =2+3){2=3;}r3;}#                                                                S113
#BC(){TXXXXXXTXWTf(H;I;2=            0,7,10,11,12,13,23,25,25,25,25,25,25,23,25,24,23,16,27,41,58,71,85,101,113,                 2+3){2=3;}r3;}#                                                                 S120
#BC(){TXXXXXXTXWTf(H;I;2=2           0,7,10,11,12,13,23,25,25,25,25,25,25,23,25,24,23,16,27,41,58,71,85,101,113,120,             +3){2=3;}r3;}#                                                                  r34              122
#BC(){TXXXXXXTXWTf(H;I;2=Y           0,7,10,11,12,13,23,25,25,25,25,25,25,23,25,24,23,16,27,41,58,71,85,101,113,122,             +3){2=3;}r3;}#                                                                  S51
#BC(){TXXXXXXTXWTf(H;I;2=Y+          0,7,10,11,12,13,23,25,25,25,25,25,25,23,25,24,23,16,27,41,58,71,85,101,113,122,51,          3){2=3;}r3;}#                                                                   r36              128
#BC(){TXXXXXXTXWTf(H;I;2=YQ          0,7,10,11,12,13,23,25,25,25,25,25,25,23,25,24,23,16,27,41,58,71,85,101,113,122,128,         3){2=3;}r3;}#                                                                   S43
#BC(){TXXXXXXTXWTf(H;I;2=YQ3         0,7,10,11,12,13,23,25,25,25,25,25,25,23,25,24,23,16,27,41,58,71,85,101,113,122,128,43,      ){2=3;}r3;}#                                                                    r35              133
#BC(){TXXXXXXTXWTf(H;I;2=YQY         0,7,10,11,12,13,23,25,25,25,25,25,25,23,25,24,23,16,27,41,58,71,85,101,113,122,128,133,     ){2=3;}r3;}#                                                                    r28              102
#BC(){TXXXXXXTXWTf(H;I;H             0,7,10,11,12,13,23,25,25,25,25,25,25,23,25,24,23,16,27,41,58,71,85,102,                     ){2=3;}r3;}#                                                                    r27              40
